x,y
177,208
x,y
220,202
219,203
219,204
218,205
218,207
219,207
220,208
221,207
221,206
222,205
223,206
223,208
225,208
225,207
226,206
225,205
225,204
223,202
x,y
221,202
222,202
226,206
224,208
223,207
223,206
222,205
221,205
221,207
220,208
218,206
218,205
x,y
197,202
197,203
196,204
196,206
197,207
198,207
200,205
201,206
201,207
200,208
203,208
204,207
204,205
203,204
203,203
202,203
201,202
x,y
197,203
198,202
200,202
201,203
202,203
204,205
204,206
202,208
201,207
201,206
200,205
199,205
199,206
198,207
196,205
197,204
x,y
177,201
176,202
175,202
174,203
174,206
176,206
178,204
179,205
179,207
180,208
181,208
181,207
182,206
182,204
179,201
x,y
177,201
178,201
182,205
182,206
180,208
179,207
179,205
178,204
177,204
177,205
176,206
175,206
174,205
174,204
x,y
221,180
218,183
218,186
220,188
223,188
224,187
225,187
225,186
226,185
226,183
225,182
225,181
224,181
223,180
x,y
222,180
223,180
225,182
225,183
226,184
225,185
225,186
224,187
223,187
222,188
221,188
218,185
218,184
x,y
222,183
221,184
221,185
222,185
223,184
x,y
221,184
222,183
223,184
222,185
x,y
200,180
199,181
196,181
196,184
197,185
197,186
198,187
202,187
204,185
204,183
203,182
203,181
202,180
x,y
196,182
197,181
198,181
199,182
199,184
201,184
201,182
202,181
203,182
203,183
204,184
203,185
203,186
202,187
199,187
196,184
x,y
199,181
200,180
201,180
202,181
201,182
201,183
200,184
199,183
x,y
175,180
175,181
174,182
174,185
176,187
179,187
180,186
181,186
181,185
182,184
182,182
181,181
181,180
x,y
175,181
176,180
180,180
181,181
181,182
182,183
182,184
179,187
177,187
174,184
174,183
175,182
x,y
177,182
177,184
179,184
179,182
179,183
178,184
177,183
x,y
218,161
218,163
221,166
224,166
225,165
226,165
226,162
223,162
222,163
221,162
221,161
x,y
218,162
219,161
220,161
222,163
223,163
224,162
225,162
226,163
226,164
225,165
224,165
223,166
222,166
x,y
224,160
x,y
202,159
201,160
201,161
200,162
199,161
199,160
196,160
196,162
197,163
197,164
198,165
199,165
200,166
201,166
202,165
203,165
203,164
204,163
204,160
203,159
x,y
196,161
197,160
198,160
199,161
199,162
200,162
201,163
201,161
202,160
203,160
204,161
204,163
201,166
200,166
196,162
x,y
180,158
179,159
179,161
178,162
177,161
174,161
174,162
175,163
175,164
176,164
177,165
180,165
182,163
182,159
181,158
x,y
179,159
180,158
182,160
182,163
181,164
180,164
179,165
177,165
174,162
175,161
176,161
177,162
179,162
x,y
176,158
x,y
180,134
179,135
178,135
177,136
177,137
175,139
175,140
176,139
176,138
180,134
186,134
187,135
188,135
189,134
192,134
193,135
197,135
198,136
203,136
204,135
203,136
198,136
197,135
193,135
192,134
189,134
188,135
187,135
186,134
x,y
206,132
206,135
221,135
224,138
224,139
225,140
225,141
226,142
226,143
229,146
235,146
236,147
236,148
238,150
238,151
239,152
239,153
240,154
240,155
242,157
242,158
243,159
243,160
244,161
244,162
246,164
246,165
247,166
247,167
248,168
248,169
250,171
250,172
251,173
251,175
250,176
250,177
248,179
248,180
247,181
247,182
246,183
246,186
247,187
247,189
249,191
249,192
250,193
250,194
251,195
250,196
250,197
249,198
249,199
247,201
247,202
246,203
246,204
244,206
244,207
243,208
243,209
241,211
241,212
240,213
240,214
238,216
238,217
237,218
237,219
235,221
235,222
234,223
227,223
225,225
225,226
224,227
224,228
222,230
222,231
219,234
215,234
214,233
179,233
176,230
176,228
175,227
175,226
173,224
173,223
172,222
166,222
163,219
163,218
162,217
162,216
161,215
161,214
159,212
159,211
158,210
158,209
156,207
156,206
155,205
155,204
154,203
154,202
153,201
153,200
151,198
151,197
150,196
150,195
148,193
148,192
147,191
147,190
146,189
146,188
145,187
145,186
143,184
143,182
145,180
145,179
146,178
146,177
147,176
147,175
148,174
148,173
150,171
150,170
151,169
151,168
152,167
152,166
154,164
154,163
156,161
156,160
157,159
157,158
159,156
159,154
161,152
161,151
163,149
163,147
166,144
172,144
173,143
174,143
174,142
173,141
164,141
161,144
161,146
159,148
159,149
157,151
157,153
155,155
155,156
154,157
154,158
153,159
153,160
150,163
150,164
149,165
149,166
148,167
148,168
146,170
146,171
145,172
145,173
144,174
144,175
142,177
142,178
141,179
141,180
140,181
140,184
141,185
141,186
142,187
142,188
143,189
143,190
144,191
144,192
145,193
145,194
146,195
146,196
148,198
148,199
149,200
149,201
151,203
151,204
152,205
152,206
153,207
153,208
154,209
154,210
156,212
156,213
157,214
157,215
159,217
159,218
160,219
160,220
161,221
161,222
164,225
170,225
171,226
171,227
173,229
173,231
174,232
174,233
176,235
177,235
178,236
214,236
215,237
220,237
221,236
222,236
224,234
224,233
225,232
225,231
227,229
227,228
229,226
235,226
236,225
237,225
238,224
238,222
240,220
240,219
242,217
242,216
243,215
243,214
245,212
245,211
246,210
246,209
248,207
248,206
249,205
249,204
251,202
251,201
252,200
252,199
254,197
254,194
253,193
253,192
252,191
252,190
251,189
251,188
249,186
249,183
252,180
252,179
253,178
253,177
254,176
254,172
253,171
253,170
252,169
252,168
250,166
250,165
249,164
249,163
248,162
248,161
246,159
246,158
245,157
245,156
244,155
244,154
242,152
242,150
240,148
240,147
238,145
238,144
237,144
236,143
231,143
228,140
228,139
227,138
227,137
226,136
226,135
223,132
x,y
164,142
165,141
173,141
174,142
173,143
172,143
171,144
165,144
164,145
164,146
163,147
163,148
161,150
161,151
160,152
159,151
159,149
160,148
160,147
161,146
161,145
162,144
162,143
163,142
x,y
222,134
223,133
224,133
225,134
225,135
226,136
226,137
227,138
227,139
229,141
229,142
230,143
235,143
236,144
237,144
239,146
239,147
240,148
240,149
242,151
242,152
243,153
243,154
244,155
244,156
246,158
246,159
247,160
247,161
248,162
248,163
249,164
249,165
250,166
250,167
252,169
252,170
253,171
253,172
254,173
254,175
253,176
253,177
252,178
252,179
251,180
251,181
249,183
249,186
250,187
250,188
251,189
251,190
252,191
252,192
253,193
253,194
254,195
254,196
253,197
253,198
251,200
251,201
250,202
250,203
248,205
248,206
246,208
246,209
245,210
245,211
244,212
244,213
242,215
242,216
241,217
241,218
239,220
239,221
238,222
238,223
236,225
235,225
234,226
228,226
228,227
226,229
226,230
224,232
224,233
220,237
215,237
214,236
179,236
178,235
177,235
174,232
174,231
173,230
173,229
172,228
172,227
171,226
171,225
165,225
161,221
161,220
159,218
159,217
158,216
158,215
157,214
157,213
155,211
155,210
154,209
154,208
153,207
153,206
152,205
152,204
150,202
150,201
149,200
149,199
147,197
147,196
146,195
146,194
145,193
145,192
143,190
143,189
142,188
142,187
141,186
141,184
140,183
140,182
141,181
141,180
142,179
142,178
144,176
144,175
145,174
145,173
146,172
146,171
148,169
148,168
149,167
149,166
150,165
150,164
152,162
152,161
153,160
153,159
155,157
155,156
156,155
156,154
157,153
157,152
158,151
159,151
160,152
159,153
159,155
157,157
157,158
156,159
156,160
154,162
154,163
152,165
152,166
151,167
151,168
150,169
150,170
148,172
148,173
147,174
147,176
145,178
145,179
143,181
143,184
144,185
144,186
145,187
145,188
146,189
146,190
147,191
147,192
148,193
148,194
150,196
150,197
151,198
151,199
153,201
153,202
154,203
154,204
155,205
155,206
156,207
156,208
158,210
158,211
159,212
159,213
161,215
161,216
162,217
162,218
163,219
163,220
165,222
171,222
173,224
173,225
175,227
175,228
176,229
176,231
178,233
214,233
215,234
220,234
222,232
222,231
224,229
224,228
225,227
225,226
228,223
235,223
235,222
237,220
237,219
238,218
238,217
240,215
240,214
241,213
241,212
243,210
243,209
244,208
244,207
246,205
246,204
247,203
247,202
249,200
249,199
250,198
250,197
251,196
251,194
250,193
250,192
249,191
249,190
247,188
247,186
246,185
246,184
247,183
247,182
248,181
248,180
250,178
250,177
251,176
251,172
250,171
250,170
248,168
248,167
247,166
247,165
246,164
246,163
244,161
244,160
243,159
243,158
242,157
242,156
240,154
240,153
239,152
239,151
238,150
238,149
236,147
236,146
230,146
226,142
226,141
225,140
225,139
224,138
224,137
222,135
x,y
206,133
207,132
222,132
223,133
221,135
207,135
206,134
