x,y
196,145
196,166
197,167
198,167
199,166
199,145
x,y
196,146
197,145
198,145
199,146
199,166
198,167
196,165
x,y
159,141
159,144
162,144
162,141
x,y
159,142
160,141
161,141
162,142
162,143
161,144
160,144
159,143
x,y
97,141
97,185
98,186
100,186
101,187
195,187
196,186
199,186
199,184
196,181
195,181
194,180
192,180
191,179
189,179
188,178
186,178
185,177
183,177
182,176
179,176
178,175
177,175
178,176
182,176
183,177
185,177
186,178
188,178
189,179
191,179
192,180
194,180
196,182
197,182
199,184
199,185
198,186
197,186
196,185
196,184
101,184
100,183
100,142
99,141
x,y
190,185
191,184
195,184
196,185
194,187
191,187
190,186
x,y
100,185
101,184
187,184
188,185
189,184
190,185
190,186
189,187
187,187
186,186
185,187
180,187
179,186
178,187
176,187
175,186
174,187
167,187
166,186
165,187
113,187
112,186
111,187
101,187
100,186
x,y
97,142
98,141
99,141
100,142
100,185
99,186
97,184
x,y
159,126
159,128
158,129
157,129
157,131
155,133
155,134
154,135
154,136
153,137
153,138
150,141
150,142
149,143
149,144
148,145
148,146
147,147
147,148
145,150
145,152
144,153
144,154
142,156
142,158
141,159
142,158
142,157
143,156
143,155
144,154
144,153
145,152
145,151
147,149
147,148
148,147
148,146
149,145
149,144
150,143
150,142
152,140
152,139
153,138
153,137
154,136
154,135
156,133
156,132
157,131
157,130
159,128
160,129
161,129
162,128
162,126
x,y
159,127
160,126
161,126
162,127
162,128
161,129
x,y
132,126
132,127
133,128
132,129
132,131
133,132
133,137
134,138
134,140
133,141
132,141
132,143
133,144
133,148
134,149
134,153
135,154
135,158
134,159
133,159
132,158
131,158
130,157
129,157
128,156
127,156
126,155
125,155
124,154
123,154
122,153
121,153
119,151
118,151
117,150
116,150
115,149
114,149
113,148
112,148
111,147
110,147
108,145
107,145
106,144
105,144
104,143
103,143
104,143
105,144
106,144
108,146
109,146
110,147
111,147
112,148
113,148
114,149
115,149
116,150
117,150
119,152
120,152
121,153
122,153
123,154
124,154
125,155
126,155
127,156
128,156
129,157
130,157
131,158
132,158
133,159
135,159
135,154
134,153
134,149
133,148
133,145
135,143
135,141
134,140
134,138
133,137
133,132
132,131
132,129
133,128
134,128
135,129
135,131
136,132
136,137
137,138
137,146
138,147
138,152
139,153
139,159
139,153
138,152
138,147
137,146
137,138
136,137
136,132
135,131
135,129
134,128
135,127
135,126
x,y
132,142
133,141
134,141
135,142
133,144
132,143
x,y
132,127
133,126
134,126
135,127
134,128
133,128
